Age,Total,Male,Female
All Ages,33192484,16128098,17064386
00-04 Yrs.,3018416,1575848,1442568
05-09 Yrs.,3134472,1629622,1504850
10-14 Yrs.,3043831,1576105,1467725
15-19 Yrs.,2738997,1402605,1336392
20-24 Yrs.,2801555,1415205,1386351
25-29 Yrs.,3159162,1581088,1578073
30-34 Yrs.,3087532,1511411,1576121
35-39 Yrs.,2497726,1127894,1369833
40-44 Yrs.,2014130,846889,1167241
45-49 Yrs.,1748680,750352,998329
50-54 Yrs.,1504042,663260,840782
55-59 Yrs.,1283783,584342,699440
60-64 Yrs.,1062406,494988,567418
65-69 Yrs.,815440,384355,431085
70-74 Yrs.,587361,276678,310683
75-79 Yrs.,388194,176231,211963
80+ Yrs.,306757,131225,175532
