Age,Total,Male,Female,Total,Male,Female,Total,Male,Female
All Ages,"33,056,861","16,048,800","17,008,061","33,333,693","16,184,376","17,149,317","33,597,032","16,313,189","17,283,844"
00-04 Yrs.,"2,749,090","1,436,457","1,312,633","2,691,489","1,407,523","1,283,967","2,632,885","1,378,013","1,254,872"
05-09 Yrs.,"2,968,682","1,544,768","1,423,914","2,934,640","1,528,319","1,406,321","2,893,116","1,507,945","1,385,172"
10-14 Yrs.,"2,997,436","1,553,236","1,444,201","3,008,331","1,560,068","1,448,263","3,011,074","1,562,734","1,448,340"
15-19 Yrs.,"2,784,242","1,428,862","1,355,380","2,842,830","1,462,165","1,380,666","2,906,027","1,498,024","1,408,003"
20-24 Yrs.,"2,724,324","1,376,354","1,347,970","2,661,938","1,345,070","1,316,869","2,614,336","1,321,296","1,293,040"
25-29 Yrs.,"3,098,524","1,551,527","1,546,997","3,028,842","1,516,700","1,512,141","2,956,350","1,480,105","1,476,245"
30-34 Yrs.,"3,139,711","1,545,262","1,594,450","3,169,306","1,565,960","1,603,346","3,176,000","1,574,004","1,601,996"
35-39 Yrs.,"2,635,614","1,217,237","1,418,378","2,766,944","1,302,830","1,464,113","2,880,616","1,376,740","1,503,876"
40-44 Yrs.,"2,065,895","869,868","1,196,027","2,133,057","904,717","1,228,340","2,220,991","955,115","1,265,876"
45-49 Yrs.,"1,793,195","762,772","1,030,423","1,838,675","776,301","1,062,373","1,885,055","791,601","1,093,455"
50-54 Yrs.,"1,540,726","675,852","864,874","1,578,659","688,396","890,263","1,617,678","700,312","917,366"
55-59 Yrs.,"1,312,823","590,970","721,854","1,342,895","598,227","744,668","1,374,402","606,719","767,683"
60-64 Yrs.,"1,090,320","505,084","585,236","1,118,074","514,494","603,580","1,145,955","523,080","622,876"
65-69 Yrs.,"843,849","394,504","449,345","872,599","404,744","467,855","900,809","414,819","485,990"
70-74 Yrs.,"602,196","282,607","319,589","619,082","289,091","329,991","638,335","296,264","342,071"
75-79 Yrs.,"396,085","180,158","215,926","404,692","184,277","220,415","414,140","188,513","225,627"
80+ Yrs.,"314,147","133,282","180,865","321,639","135,494","186,145","329,263","137,905","191,359"
